Id,Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
10100052,0,"",-1,"","",48851.0,405.0,0.0,1.0,17.0,"",0.0,"","",1.0,18.0,314.0,15.0,1.0,1.0,1154.0,0.0,1.0,44.0,368.0,60.0,370.0,2.0,397.0,21.0,1.0,217.0,0.0,0.0,62.0,0.0,1.0,15.0,0.0,0.0
10100053,0,0.0,14,6.0,7.0,3195.0,59.0,12.0,34.0,42.0,0.0,1.0,"",7.0,0.0,0.0,0.0,1.0,0.0,0.0,266.0,0.0,0.0,421.0,48.0,0.0,60.0,0.0,2380.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
10100054,1,0.0,-1,"","",1589.0,9.0,26.0,9.0,75.0,0.0,8.0,"","",0.0,231.0,7555009.0,26734.0,0.0,0.0,52.0,5.0,0.0,496.0,9.0,7083942.0,12.0,0.0,3003.0,28657.0,0.0,1125.0,0.0,0.0,28056.0,1.0,3.0,6005.0,0.0,0.0
10100055,0,"",-1,"","","","","","","","","","","",0.0,0.0,18127.0,20876.0,0.0,1.0,117.0,0.0,1.0,0.0,145.0,18475.0,142.0,0.0,6629.0,19496.0,8.0,3149.0,0.0,0.0,19021.0,0.0,4.0,13542.0,0.0,0.0
10100056,0,0.0,13,36.0,23.0,4533.0,64.0,1.0,30.0,59.0,0.0,1.0,"",23.0,0.0,41.0,7039997.0,78154.0,6.0,3.0,7445.0,5.0,0.0,0.0,3240.0,6232330.0,2642.0,11.0,1960.0,4573929.0,2.0,45.0,1.0,3.0,3824496.0,0.0,0.0,18518.0,19.0,17866.0
10100057,1,"",1,92.0,9.0,5002.0,46.0,7.0,9.0,14.0,"",2.0,"",9.0,4.0,9.0,7736758.0,4.0,0.0,1.0,1165.0,0.0,0.0,4858.0,607.0,6613821.0,594.0,1.0,57.0,33.0,0.0,10.0,1.0,1.0,5044637.0,0.0,1.0,3.0,2.0,11.0
10100058,1,7.0,-1,"","",565.0,0.0,7.0,0.0,0.0,1.0,1.0,"","",0.0,28.0,1435.0,1400.0,0.0,5.0,61.0,0.0,0.0,152.0,64.0,1471.0,33.0,0.0,85.0,1667.0,0.0,23.0,16.0,1.0,1528.0,0.0,0.0,627.0,6.0,284.0
10100059,0,"",1,16.0,1.0,"","",0.0,1.0,1.0,"",0.0,"",1.0,0.0,0.0,629493.0,3170.0,0.0,0.0,695.0,0.0,0.0,0.0,716.0,672825.0,588.0,2.0,4293.0,2691.0,8.0,1361.0,0.0,0.0,728300.0,0.0,4.0,1117.0,0.0,0.0
10100060,1,"",774,5.0,1.0,23029.0,2.0,13.0,1.0,7.0,"",3.0,"",1.0,1.0,3.0,438224.0,5.0,0.0,0.0,24.0,0.0,1.0,378.0,3.0,502711.0,5.0,1.0,67.0,461853.0,0.0,78.0,7.0,1.0,515322.0,0.0,5.0,5.0,4.0,2.0
10100061,1,1.0,189,6.0,5.0,34.0,5.0,6.0,6.0,9.0,1.0,3.0,"",4.0,0.0,76.0,320734.0,5.0,1.0,0.0,101.0,11.0,0.0,28.0,82.0,299316.0,92.0,1.0,71.0,297119.0,0.0,82.0,17.0,1.0,321807.0,0.0,1.0,5.0,2.0,2.0
10100062,0,"",8,5.0,2.0,"","",0.0,2.0,2.0,"",0.0,"",2.0,0.0,0.0,5182.0,1662.0,0.0,6.0,117.0,0.0,1.0,0.0,145.0,5321.0,142.0,3.0,775.0,5930.0,8.0,545.0,0.0,0.0,5559.0,0.0,4.0,235.0,0.0,0.0
10100063,1,"",-1,"","",3283.0,3.0,0.0,0.0,0.0,"",0.0,"","",1.0,9.0,62851.0,1028.0,0.0,3.0,40.0,1.0,0.0,34.0,25.0,62700.0,27.0,0.0,56.0,62896.0,1.0,20.0,1.0,1.0,62079.0,0.0,0.0,3.0,2.0,688.0
10100064,1,"",-1,"","",19964.0,1.0,5.0,1.0,3.0,"",3.0,"","",0.0,114.0,0.0,1.0,1.0,0.0,218.0,0.0,0.0,2082.0,200.0,0.0,212.0,9.0,167.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
10100065,0,0.0,121,1.0,3.0,3235.0,139.0,1.0,8.0,10.0,0.0,1.0,"",8.0,0.0,22.0,1.0,0.0,0.0,1.0,60.0,1.0,0.0,12806.0,62.0,1.0,71.0,1.0,160.0,1.0,1.0,37.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
10100066,0,"",155,14.0,"",147222.0,"","",1.0,"","","","","",3.0,22.0,1.0,0.0,1.0,0.0,689.0,0.0,1.0,0.0,545.0,1.0,307.0,0.0,73.0,1.0,4.0,37.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0
10100067,0,2.0,6,"",1.0,606.0,1.0,2.0,1.0,1.0,1.0,1.0,"",1.0,0.0,16.0,17.0,19.0,29.0,0.0,387.0,0.0,0.0,2.0,81.0,18.0,32.0,4.0,65.0,17.0,1.0,77.0,0.0,0.0,21.0,0.0,1.0,9.0,0.0,0.0
10100068,0,11.0,0,231.0,29.0,1454.0,51.0,51.0,33.0,224.0,0.0,4.0,1.0,30.0,4.0,9.0,3099.0,4.0,0.0,0.0,273.0,0.0,0.0,133.0,82.0,3148.0,92.0,2.0,36.0,25.0,3.0,10.0,1.0,1.0,3240.0,0.0,3.0,3.0,2.0,10.0
10100069,0,0.0,78,"","",23986.0,"",0.0,0.0,5.0,0.0,0.0,"","",0.0,38.0,13.0,16.0,3.0,0.0,1531.0,22.0,0.0,3844.0,306.0,14.0,306.0,1.0,41.0,15.0,2.0,32.0,1.0,2.0,15.0,0.0,0.0,3.0,2.0,3.0
10100070,0,4.0,12,3.0,7.0,349.0,50.0,4.0,4.0,50.0,1.0,1.0,"",9.0,0.0,131.0,3947.0,5320.0,0.0,1.0,1591.0,2.0,0.0,4037.0,1362.0,4073.0,1223.0,0.0,384.0,4544.0,0.0,187.0,1.0,1.0,4224.0,0.0,1.0,568.0,5.0,5666.0
10100071,0,0.0,2,"",3.0,10601.0,197.0,3.0,9.0,77.0,0.0,2.0,"",3.0,0.0,20.0,12850.0,15523.0,0.0,0.0,4500.0,0.0,0.0,6602.0,2838.0,13128.0,2359.0,5.0,69.0,14045.0,1.0,11.0,320.0,3.0,13578.0,0.0,0.0,0.0,2.0,1.0
10100072,0,"",18,"","",33131.0,"",0.0,1.0,69.0,"",0.0,"","",0.0,77.0,575.0,777.0,0.0,0.0,1082.0,0.0,0.0,20288.0,870.0,593.0,819.0,0.0,689.0,662.0,7.0,106.0,0.0,0.0,609.0,0.0,4.0,406.0,0.0,0.0
10100073,0,2.0,243,1.0,1.0,133.0,1.0,5.0,6.0,6.0,2.0,3.0,"",1.0,0.0,0.0,6079751.0,26332.0,0.0,0.0,1445.0,0.0,0.0,0.0,280.0,3301772.0,279.0,0.0,7845.0,650266.0,0.0,3604.0,0.0,0.0,5428233.0,0.0,1.0,3.0,0.0,0.0
10100074,0,21.0,0,2.0,21.0,1.0,21.0,21.0,2.0,21.0,1.0,1.0,0.0,2.0,0.0,6.0,217709.0,14568.0,1.0,3.0,53.0,3.0,0.0,156.0,77.0,236534.0,89.0,2.0,39.0,27509.0,0.0,4.0,21.0,3.0,216112.0,0.0,3.0,2268.0,2.0,1550.0
10100075,0,11.0,1,19.0,10.0,108.0,15.0,253.0,11.0,20.0,3.0,21.0,3.0,10.0,0.0,3.0,579.0,780.0,2.0,0.0,105.0,6.0,0.0,225.0,3.0,597.0,5.0,0.0,1.0,665.0,6.0,0.0,58.0,3.0,614.0,0.0,3.0,599.0,4.0,749.0
10100076,0,0.0,1,"",2.0,16032.0,722.0,19.0,5.0,1311.0,0.0,4.0,0.0,2.0,0.0,161.0,268.0,332.0,0.0,0.0,6367.0,6.0,0.0,15440.0,1122.0,279.0,1016.0,1.0,450.0,302.0,0.0,352.0,0.0,0.0,286.0,0.0,2.0,193.0,0.0,0.0
10100077,1,"",0,1.0,2.0,5832.0,46.0,5.0,6.0,66.0,"",1.0,"",2.0,2.0,23.0,1125312.0,82055.0,0.0,0.0,1802.0,0.0,0.0,0.0,833.0,1288778.0,795.0,1.0,59.0,96349.0,0.0,21.0,44.0,1.0,234111.0,0.0,0.0,2114.0,9.0,32385.0
10100078,1,5.0,0,"",0.0,0.0,0.0,58.0,3.0,41.0,4.0,33.0,"",0.0,0.0,0.0,403785.0,220204.0,0.0,5.0,949.0,0.0,0.0,0.0,948.0,401307.0,690.0,1.0,2256.0,309589.0,0.0,1336.0,0.0,0.0,347959.0,0.0,0.0,1847.0,0.0,0.0
10100079,1,37.0,4,1.0,1.0,40.0,1.0,449.0,13.0,417.0,3.0,41.0,0.0,1.0,0.0,13.0,20.0,27.0,0.0,0.0,800.0,0.0,0.0,55.0,167.0,21.0,186.0,0.0,121.0,30.0,3.0,60.0,1.0,2.0,25.0,0.0,2.0,8.0,7.0,14.0
10100080,0,9.0,1,15.0,25.0,200.0,31.0,19.0,41.0,391.0,2.0,5.0,"",25.0,0.0,257.0,5591551.0,769.0,0.0,0.0,328.0,1.0,0.0,2767.0,137.0,5553460.0,157.0,0.0,1410.0,6757.0,0.0,489.0,1.0,3.0,7193.0,0.0,5.0,3.0,2.0,1350.0
10100081,0,"",-1,"","",36783.0,46.0,0.0,1.0,43.0,"",0.0,"","",0.0,3.0,466029.0,11243.0,0.0,0.0,854.0,0.0,0.0,0.0,16.0,529888.0,14.0,15.0,233.0,37642.0,0.0,0.0,769.0,1.0,413182.0,4.0,0.0,3167.0,4.0,2220.0
10100082,0,"",136,3.0,1.0,33737.0,"",0.0,2.0,1.0,"",0.0,"",1.0,0.0,341.0,1.0,0.0,1.0,1.0,418.0,1.0,0.0,255.0,365.0,1.0,368.0,1.0,1176.0,1.0,2.0,738.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
10100083,0,7.0,6,2.0,"",750.0,2.0,10.0,4.0,22.0,3.0,4.0,"","",0.0,6.0,6663385.0,41135.0,1.0,4.0,63.0,1.0,0.0,0.0,259.0,2819219.0,109.0,2.0,39.0,4194022.0,2.0,4.0,1.0,2.0,1535667.0,0.0,0.0,14020.0,2.0,1283.0
10100084,0,"",1,4.0,3.0,186301.0,"",0.0,3.0,6.0,"",0.0,"",3.0,0.0,21.0,6.0,3.0,0.0,0.0,295.0,0.0,1.0,235.0,70.0,7.0,82.0,1.0,201.0,8.0,2.0,62.0,0.0,0.0,8.0,2.0,1.0,6.0,0.0,0.0
10100085,1,"",-1,"","",162413.0,"",0.0,2.0,2.0,"",0.0,"","",0.0,3.0,8770.0,11031.0,0.0,2.0,24.0,0.0,1.0,454.0,3.0,8944.0,5.0,0.0,1.0,9743.0,0.0,0.0,15.0,1.0,9340.0,0.0,3.0,0.0,4.0,1.0
